,id,deg_assortativity_coefficient_joke,deg_assortativity_coefficient_njok
967,97pppp,-0.16666666666666782,
968,97pppp,,
969,97pppp,,
970,97pppp,,
971,97pppp,-0.5773502691896258,-0.5773502691896258
972,97pppp,0.16666666666666557,
973,97pppp,,
974,97pppp,,
975,97pppp,,
976,97pppp,-inf,-inf
977,97pppp,-0.4999999999999988,
978,97pppp,,0.0
979,97pppp,,
980,97pppp,-inf,-inf
981,97pppp,,
982,97pppp,0.15811388300841878,0.15811388300841878
983,97pppp,-0.25000000000000167,-0.25000000000000167
984,97pppp,,
985,97pppp,,
986,97pppp,,-0.2886751345948155
987,97pppp,,
988,97pppp,,
989,97pppp,,
990,97pppp,,
991,97pppp,,
992,97pppp,,
993,97pppp,,
994,97pppp,,
995,97pppp,,
996,97pppp,,
997,97pppp,,
998,97pppp,inf,-inf
999,97pppp,,
1000,97pppp,inf,inf
1001,97pppp,,
1002,97pppp,-0.250000000000001,-0.250000000000001
1003,97pppp,,
1004,97pppp,,
1005,97pppp,,
1006,97pppp,,
1007,97pppp,-0.24999999999999925,-0.24999999999999925
1008,97pppp,-inf,-inf
1009,97pppp,,
1010,97pppp,,
1011,97pppp,,
1012,97pppp,,
1013,97pppp,,
1014,97pppp,,
1015,97pppp,,
1016,97pppp,,
1017,97pppp,,
1018,97pppp,-0.7071067811865483,-0.7071067811865483
1019,97pppp,,
1020,97pppp,,-0.4999999999999988
1021,97pppp,,
1022,97pppp,-0.3415650255319886,-0.3415650255319886
1023,97pppp,,
1024,97pppp,-0.4082482904638675,-0.4082482904638675
1025,97pppp,,
1026,97pppp,,
1027,97pppp,-0.49507377148833603,-0.49507377148833603
1028,97pppp,,
1029,97pppp,,
1030,97pppp,,
1031,97pppp,,
1032,97pppp,,
1033,97pppp,-0.2773500981126144,-0.21821789023599308
1034,97pppp,,
1035,97pppp,,
1036,97pppp,-0.6123724356957957,-0.6123724356957957
1037,97pppp,-0.4082482904638675,
1038,97pppp,,
1039,97pppp,,
1040,97pppp,,
1041,97pppp,,-0.5773502691896258
1042,97pppp,,
1043,97pppp,,
1044,97pppp,,
1045,97pppp,,
1046,97pppp,,
1047,97pppp,,
1048,97pppp,,
1049,97pppp,,
1050,97pppp,,
1051,97pppp,,
1052,97pppp,,
1053,97pppp,,
1054,97pppp,,
1055,97pppp,,-0.6324555320336743
1056,97pppp,-0.1666666666666696,-0.1666666666666696
1057,97pppp,inf,inf
1058,97pppp,0.0,
1059,97pppp,,
1060,97pppp,,
1061,97pppp,,
1062,97pppp,,
1063,97pppp,inf,inf
1064,97pppp,,
1065,97pppp,-0.4999999999999988,0.40824829046386113
1066,97pppp,,
